kdex,name,hp,atk,def,spd,spc,type1,type2
56,MANKEY,40,80,35,70,35,Fighting,???
57,PRIMEAPE,65,105,60,95,60,Fighting,???
58,GROWLITHE,55,70,45,60,50,Fire,???
59,ARCANINE,90,110,80,95,80,Fire,???
60,POLIWAG,40,50,40,90,40,Water,???
61,POLIWHIRL,65,65,65,90,50,Water,???
62,POLIWRATH,90,85,95,70,70,Water,Fighting
63,ABRA,25,20,15,90,105,Psychic,???
64,KADABRA,40,35,30,105,120,Psychic,???
65,ALAKAZAM,55,50,45,120,135,Psychic,???
66,MACHOP,70,80,50,35,35,Fighting,???
67,MACHOKE,80,100,70,45,50,Fighting,???
68,MACHAMP,90,130,80,55,65,Fighting,???
69,BELLSPROUT,50,75,35,40,70,Grass,Poison
70,WEEPINBELL,65,90,50,55,85,Grass,Poison
71,VICTREEBEL,80,105,65,70,100,Grass,Poison
72,TENTACOOL,40,40,35,70,100,Water,Poison
73,TENTACRUEL,80,70,65,100,120,Water,Poison
74,GEODUDE,40,80,100,20,30,Rock,Ground
75,GRAVELER,55,95,115,35,45,Rock,Ground
76,GOLEM,80,110,130,45,55,Rock,Ground
77,PONYTA,50,85,55,90,65,Fire,???
78,RAPIDASH,65,100,70,105,80,Fire,
79,SLOWPOKE,90,65,65,15,40,Water,Psychic
80,SLOWBRO,95,75,110,30,80,Water,Psychic
81,MAGNEMITE,25,35,70,45,95,Electric,Steel
82,MAGNETON,50,60,95,70,120,Electric,Steel
83,FARFETCH'D,52,65,55,60,58,Normal,Flying
84,DODUO,35,85,45,75,35,Normal,Flying
85,DODRIO,60,110,70,100,60,Normal,Flying
86,SEEL,65,45,55,45,70,Water,???
87,DEWGONG,90,70,80,70,95,Water,Ice
88,GRIMER,80,80,50,25,40,Poison,???
89,MUK,105,105,75,50,65,Poison,???
90,SHELLDER,30,65,100,40,45,Water,???
91,CLOYSTER,50,95,180,70,85,Water,Ice
92,GASTLY,30,35,30,80,100,Ghost,Poison
93,HAUNTER,45,50,45,95,115,Ghost,Poison
94,GENGAR,60,65,60,110,130,Ghost,Poison
95,ONIX,35,45,160,70,30,Rock,Ground
96,DROWZEE,60,48,45,42,90,Psychic,???
97,HYPNO,85,73,70,67,115,Psychic,???
98,KRABBY,30,105,90,50,25,Water,???
99,KINGLER,55,130,115,75,50,Water,
100,VOLTORB,40,30,50,100,55,Electric,???
101,ELECTRODE,60,50,70,140,80,Electric,???
102,EXEGGCUTE,60,40,80,40,60,Grass,Psychic
103,EXEGGUTOR,95,95,85,55,125,Grass,Psychic
104,CUBONE,50,50,95,35,40,Ground,???
105,MAROWAK,60,80,110,45,50,Ground,???
106,HITMONLEE,50,120,53,87,35,Fighting,???
107,HITMONCHAN,50,105,79,76,35,Fighting,???
108,LICKITUNG,90,55,75,30,60,Normal,???
109,KOFFING,40,65,95,35,60,Poison,???
110,WEEZING,65,90,120,60,85,Poison,???
111,RHYHORN,80,85,95,25,30,Ground,Rock
112,RHYDON,105,130,120,40,45,Ground,Rock
113,CHANSEY,250,5,5,50,105,Normal,???
114,TANGELA,65,55,115,60,100,Grass,???
115,KANGASKHAN,105,95,80,90,40,Normal,???
116,HORSEA,30,40,70,60,70,Water,???
117,SEADRA,55,65,95,85,95,Water,???
118,GOLDEEN,45,67,60,63,50,Water,???
119,SEAKING,80,92,65,68,80,Water,???
120,STARYU,30,45,55,85,70,Water,???
121,STARMIE,60,75,85,115,100,Water,Psychic
122,MR.???MIME,40,45,65,90,100,Psychic,???
123,SCYTHER,70,110,80,105,55,Bug,Flying
124,JYNX,65,50,35,95,95,Ice,Psychic
125,ELECTABUZZ,65,83,57,105,85,Electric,???
126,MAGMAR,65,95,57,93,85,Fire,???
127,PINSIR,65,125,100,85,55,Bug,
128,TAUROS,75,100,95,110,70,Normal,???
129,MAGIKARP,20,10,55,80,20,Water,???
130,GYARADOS,95,125,79,81,100,Water,Flying
131,LAPRAS,130,85,80,60,95,Water,Ice
132,DITTO,48,48,48,48,48,Normal,???
133,EEVEE,55,55,50,55,65,Normal,???
134,VAPOREON,130,65,60,65,110,Water,???
135,JOLTEON,65,65,60,130,110,Electric,???
136,FLAREON,65,130,60,65,110,Fire,???
137,PORYGON,65,60,70,40,75,Normal,???
138,OMANYTE,35,40,100,35,90,Rock,Water
139,OMASTAR,70,60,125,55,115,Rock,Water
140,KABUTO,30,80,90,55,45,Rock,Water
141,KABUTOPS,60,115,105,80,70,Rock,Water
142,AERODACTYL,80,105,65,130,60,Rock,Flying
143,SNORLAX,160,110,65,30,65,Normal,???
144,ARTICUNO,90,85,100,85,125,Ice,Flying
145,ZAPDOS,90,90,85,100,125,Electric,Flying
146,MOLTRES,90,100,90,90,125,Fire,Flying
147,DRATINI,41,64,45,50,50,Dragon,???
148,DRAGONAIR,61,84,65,70,70,Dragon,???
149,DRAGONITE,91,134,95,80,100,Dragon,Flying
150,MEWTWO,106,110,90,130,154,Psychic,???
151,MEW,100,100,100,100,100,Psychic,???
